,id,latitude,longitude,label,quality,max_mean-bright,max_std_bright,date,region
501,361553032,52.4768336,9.1286374,0,3,0.43769362745098045,13.017327410542997,2022-03-14,Nordrhein-Westfalen
3118,69929615,40.7523,120.828,2,6,,,2022-03-14,Lianshan
228,56981704,38.4795,106.2254,2,6,,,2022-03-14,Yinchuan
2879,34748229,9.0272,38.7369,2,6,,,2022-03-14,Addis Ababa
1220,26271561,34.6587,112.4245,2,6,,,2022-03-14,Luoyang
1586,23323034,59.95,30.3167,2,6,,,2022-03-14,Saint Petersburg
3599,5402026531,52.8164996,7.5322746,0,2,0.5088989441930618,6.572133203775231,2022-03-14,Niedersachsen
3414,68418555,51.4508,7.0131,2,6,,,2022-03-14,Essen
2189,2385104793,53.305525,12.1899847,0,3,0.7566004901960786,17.369732647630826,2022-03-14,Brandenburg
1815,80312995,25.35,74.6333,2,6,,,2022-03-14,Bhilwara
1835,6318762225,53.8736894,12.2176724,0,2,0.19829411764705882,8.602812431244846,2022-03-14,Mecklenburg-Vorpommern
34,4823262594,53.2534816,7.422441,0,2,0.19523529411764706,17.58561416923712,2022-03-14,Niedersachsen
2935,40116428,35.7911,112.9259,2,6,,,2022-03-14,Gaoping
1434,24772436,8.7833,78.1333,2,6,,,2022-03-14,Tuticorin
3017,7781753571,51.9942177,12.8376147,0,2,0.23016911764705886,11.580456552254404,2022-03-14,Brandenburg
2965,67753481,43.0621,141.3544,2,6,,,2022-03-14,Sapporo
3896,10813418,-8.1803,-35.0014,2,6,,,2022-03-14,Jaboatao
281,1019285696,54.1943835,8.9585982,0,2,0.5157671568627451,8.471589813744298,2022-03-14,Schleswig-Holstein
816,3444263708,49.6813389,10.3937068,0,3,0.48215196078431366,12.665462280110125,2022-03-14,Bayern
378,49714830,33.8333,132.7667,2,6,,,2022-03-14,Matsuyama
2160,87990797,21.9135,110.8481,2,6,,,2022-03-14,Gaozhou
3546,4329966793,51.5684643,8.7918583,0,3,0.5377499999999998,19.13853505147156,2022-03-14,Nordrhein-Westfalen
3758,7884270381,54.7772094,8.9312959,0,2,0.19798529411764706,9.619129188492678,2022-03-14,Schleswig-Holstein
3880,4194343984,53.4001998,8.3949774,0,3,0.24141421568627452,6.580431970135432,2022-03-14,Niedersachsen
2126,55860691,45.768,131.0063,2,6,,,2022-03-14,Taihecun
1680,17882906,33.3936,120.1339,2,6,,,2022-03-14,Yancheng
3195,37739683,27.8804,79.905,2,6,,,2022-03-14,Shahjanpur
1841,20910185,10.5105,7.4165,2,6,,,2022-03-14,Kaduna
2785,89601548,-13.5222,-71.9833,2,6,,,2022-03-14,Cusco
1548,3791153,10.1333,-64.6833,2,6,,,2022-03-14,Barcelona
900,467443775,51.8621688,13.5575658,0,3,0.2735196078431372,7.018119010790142,2022-03-14,Brandenburg
985,58680271,5.5333,7.4833,2,6,,,2022-03-14,Umuahia
2101,19696162,1.4556,103.7611,2,6,,,2022-03-14,Johor Bahru
973,3758647075,49.2911671,9.4443543,0,3,0.21459068627450983,12.74234021195421,2022-03-14,Baden-WÃ¼rttemberg
1768,22973688,44.9164,130.5212,2,6,,,2022-03-14,Bamiantong
1110,2603064358,51.7165454,8.8985066,0,3,0.3392892156862745,14.902236589477939,2022-03-14,Nordrhein-Westfalen
2956,1129381464,53.7213917,8.6603247,0,3,0.563279411764706,15.688971881722415,2022-03-14,Niedersachsen
359,3834112957,51.5259297,8.7965725,0,2,0.39624509803921565,13.818765806322673,2022-03-14,Nordrhein-Westfalen
2620,8301582170,54.6348734,9.0696048,0,2,0.33524754901960785,10.69882250902421,2022-03-14,Schleswig-Holstein
3089,2142670566,51.7323114,8.8858178,0,3,0.4042843137254902,16.503976951030197,2022-03-14,Nordrhein-Westfalen
1445,75638465,-3.3667,36.6833,2,6,,,2022-03-14,Arusha
2130,16926860,34.8167,134.6833,2,6,,,2022-03-14,Himeji
666,71813588,9.2,12.4833,2,6,,,2022-03-14,Yola
3197,56936671,22.47,70.07,2,6,,,2022-03-14,Jamnagar
273,47009365,-27.9831,26.7208,2,6,,,2022-03-14,Welkom
3709,75077336,15.0333,120.6833,2,6,,,2022-03-14,San Fernando
289,472361038,52.5589568,9.047016,0,3,0.33432107843137254,10.609689873577155,2022-03-14,Niedersachsen
2573,9138750,-29.1,26.2167,2,6,,,2022-03-14,Bloemfontein
1994,3706807196,54.634648,9.0949542,0,3,0.36739215686274507,6.138395710956582,2022-03-14,Schleswig-Holstein
1874,7581236697,54.2254564,8.937769,0,3,0.5341102941176471,7.730341099447187,2022-03-14,Schleswig-Holstein
3360,5394513779,53.7882863,9.251053,0,2,0.4772254901960784,7.717632920328913,2022-03-14,Niedersachsen
2481,7885544616,54.5426364,8.6896012,0,3,0.3502745098039216,22.70280829775671,2022-03-14,Schleswig-Holstein
688,16205530,45.76,4.84,2,6,,,2022-03-14,Lyon
401,7891191307,54.5230058,9.402975,0,3,0.38795833333333335,6.489275038653045,2022-03-14,Schleswig-Holstein
2831,5829162822,51.4292984,10.8156614,0,3,0.6329240196078433,12.481639561403723,2022-03-14,ThÃ¼ringen
3377,633426421,53.3373989,7.1596682,0,3,0.3336519607843137,10.952242807826183,2022-03-14,Niedersachsen
203,428299422,53.2291671,11.8985008,0,1,0.4989705882352941,9.10504675672291,2022-03-14,Brandenburg
1607,8408984044,51.4803985,6.3602228,0,2,0.2845049019607844,18.96930783701343,2022-03-14,Nordrhein-Westfalen
107,14885373,-26.2678,27.8586,2,6,,,2022-03-14,Soweto
3923,5512579723,53.1358201,9.7209826,0,2,0.3072769607843137,15.695350157026265,2022-03-14,Niedersachsen
1972,62777066,30.5,117.0333,2,6,,,2022-03-14,Anqing
1406,71378877,38.7974,-9.3904,2,6,,,2022-03-14,Sintra
1194,4090611514,53.932504,10.5409454,0,2,0.408813725490196,11.785187772662518,2022-03-14,Schleswig-Holstein
1025,37779653,33.839,-117.8572,2,6,,,2022-03-14,Anaheim
3434,11139488,32.6877,109.0235,2,6,,,2022-03-14,Ankang
1737,1018903504,52.5854927,7.5380551,0,3,0.34543382352941177,6.897684391489551,2022-03-14,Niedersachsen
3450,33915587,43.8225,87.6125,2,6,,,2022-03-14,Urumqi
3162,9505235104,53.9261137,9.0601802,0,2,0.2645269607843137,14.38442175548319,2022-03-14,Schleswig-Holstein
1662,6593267146,53.4364351,7.1580058,0,3,0.3155073529411765,10.893243163828194,2022-03-14,Niedersachsen
2966,83550283,18.5196,73.8553,2,6,,,2022-03-14,Pune
47,8662325063,53.3886041,9.2893384,0,3,0.35389950980392165,8.54630794184602,2022-03-14,Niedersachsen
596,2192247669,53.9833541,8.9401037,0,2,0.4378872549019608,17.08985609830391,2022-03-14,Schleswig-Holstein
30,2767228367,51.5471166,8.7060137,0,2,0.45204656862745096,16.801035213998876,2022-03-14,Nordrhein-Westfalen
